N	O0
500	0.377711623
500	0.368389183
500	0.369622723
500	0.368388585
500	0.380049401
500	0.384287195
500	0.390344036
500	0.392120671
500	0.388102755
500	0.388991177
500	0.390397095
500	0.391744607
500	0.393079509
500	0.392702272
500	0.392937994
500	0.392177937
500	0.380269212
500	0.392287430
500	0.392303608
500	0.389000713
500	0.388323376
500	0.383356687
500	0.390722563
500	0.385000889
500	0.393355365
500	0.387044034
500	0.400989530
500	0.399885276
500	0.385524167
500	0.396747697
500	0.385531348
500	0.389337471
500	0.378832311
500	0.390147016
500	0.397264883
500	0.387583673
500	0.382938740
500	0.381368321
500	0.384313207
500	0.391080220
500	0.382247650
500	0.398185211
500	0.399553907
500	0.380520531
500	0.385762011
500	0.386092695
500	0.387080632
500	0.384431887
500	0.404309055
500	0.385277199
500	0.386392760
500	0.387799808
500	0.399728207
500	0.384533108
500	0.386972233
500	0.388418874
500	0.388131167
500	0.399864026
500	0.395976528
500	0.399429681
500	0.402353873
500	0.408457582
500	0.409149282
500	0.385466581
500	0.391696790
500	0.401925380
500	0.412626140
500	0.414432898
500	0.409270983
500	0.412910928
500	0.410928163
500	0.411815253
500	0.415066483
500	0.411887228
500	0.410637671
500	0.385449332
500	0.405419806
500	0.388474796
500	0.392761117
500	0.402025449
500	0.410146734
500	0.413042000
500	0.408670536
500	0.389190336
500	0.404644899
500	0.388152346
500	0.391597548
500	0.403037320
500	0.398478424
500	0.405676286
500	0.411936527
500	0.415956039
500	0.411666665
500	0.410807520
500	0.413615568
500	0.386905129
500	0.409824023
500	0.410746391
500	0.409675424
500	0.412729876
100	0.006142378
100	0.005798955
100	0.003423042
100	0.005219437
100	0.003912902
100	0.004740711
100	0.003810290
100	0.004337023
100	0.003457460
100	0.004098262
100	0.003073160
100	0.003010321
100	0.003067196
100	0.002832897
100	0.003007307
100	0.003142355
100	0.003090793
100	0.003003232
100	0.003028940
100	0.002989872
100	0.003081160
100	0.002910965
100	0.003037873
100	0.003002191
100	0.002964928
100	0.002968583
100	0.003032834
100	0.003018193
100	0.002912861
100	0.003056881
100	0.002867574
100	0.002807828
100	0.002814857
100	0.003119357
100	0.003012797
100	0.002880307
100	0.002827348
100	0.002879791
100	0.003033505
100	0.002895797
100	0.002986068
100	0.003154535
100	0.002969244
100	0.002946162
100	0.003038150
100	0.002999276
100	0.003030222
100	0.002834478
100	0.002986922
100	0.002892384
100	0.002920509
100	0.003150146
100	0.002856681
100	0.003003968
100	0.003171831
100	0.003037307
100	0.003002942
100	0.002809932
100	0.002859146
100	0.003051275
100	0.002941634
100	0.002981572
100	0.002971556
100	0.002956167
100	0.002879972
100	0.002910128
100	0.003523435
100	0.003161414
100	0.003368776
100	0.003252995
100	0.003146881
100	0.003161954
100	0.003136788
100	0.003091478
100	0.003248409
100	0.003003677
100	0.003105309
100	0.002983764
100	0.002843184
100	0.003114122
100	0.003039400
100	0.002965078
100	0.002982849
100	0.002822779
100	0.003061781
100	0.002996162
100	0.002925652
100	0.002958463
100	0.002969997
100	0.002852651
100	0.002888544
100	0.003024668
100	0.003035381
100	0.003024463
100	0.003032011
100	0.002903575
100	0.003025993
100	0.003013769
100	0.002951273
100	0.002952148
300	0.079341660
300	0.077001144
300	0.076071902
300	0.077084525
300	0.080498179
300	0.078999660
300	0.076503838
300	0.079907906
300	0.079912554
300	0.080446783
300	0.078383700
300	0.078477702
300	0.076787514
300	0.079724115
300	0.077402062
300	0.079235163
300	0.081140738
300	0.080169750
300	0.080443670
300	0.082342787
300	0.081697849
300	0.079948909
300	0.081390277
300	0.080900072
300	0.076696274
300	0.078633922
300	0.082546286
300	0.080735347
300	0.081251450
300	0.081080576
300	0.078439162
300	0.080896725
300	0.079595338
300	0.078507948
300	0.080694845
300	0.084351776
300	0.080351762
300	0.080544570
300	0.081732931
300	0.080722935
300	0.077056438
300	0.081253421
300	0.078474377
300	0.075413777
300	0.078749690
300	0.079523799
300	0.079620747
300	0.080506367
300	0.080286930
300	0.079683932
300	0.081130132
300	0.082418334
